,no,name,x_coor,y_coor,addr
5409,14331,난지한강공원,126.8751262,37.56884773,서울 마포구 상암동 495-71
5410,14332,월드컵공원입구.문화비축기지입구,126.8927759,37.5682127,서울 마포구 성산동 665
5411,14333,디지털미디어시티역,126.9006168,37.57500548,서울 마포구 상암동 1170-10
5412,14334,월드컵파크9.10.11.12단지,126.878698,37.585313,서울 마포구 상암동 1758
5413,14335,월드컵파크9.10.11.12단지,126.879869,37.58447574,서울 마포구 상암동 1758
5414,14336,용마루고개.브라운스톤공덕아파트,126.9569397,37.54114158,서울 용산구 효창동 5-654
5415,14337,하늘초등학교,126.8797231,37.58533909,서울 마포구 상암동 1757
5416,14338,월드컵파크10단지,126.881522,37.58624978,서울 마포구 상암동 1757
5417,14339,월드컵파크11.12단지,126.8809657,37.58614463,서울 마포구 상암동 1757
5418,14340,수색교,126.8841033,37.58719789,서울 마포구 상암동 988
5419,14341,수색교,126.8840173,37.58712729,서울 마포구 상암동 1756
5420,14342,가좌역1번출구,126.9152459,37.56819287,서울 마포구 성산동 121-10
5421,14343,가좌역,126.9153966,37.56794087,서울 마포구 성산동 667
5422,14344,디지털미디어시티역,126.9005145,37.57560173,서울 마포구 상암동 1154-6
5423,14346,청구아파트.참누리아파트,126.9028314,37.57420303,서울 마포구 중동 84-9
5424,14347,청구아파트.참누리아파트,126.9031487,37.57388317,서울 마포구 중동 84-9
5425,14348,중동현대아파트,126.9072513,37.5716679,서울 마포구 중동 35-31
5426,14349,중동현대아파트,126.9071369,37.5715922,서울 마포구 중동 35-31
5427,14350,가좌행복주택.건영월드컵아파트,126.9121906,37.56934705,서울 마포구 중동 283
5428,14351,가좌행복주택.건영월드컵아파트,126.9115576,37.56947794,서울 마포구 중동 270-1
5429,14352,월드컵아이파크,126.9135314,37.56653684,서울 마포구 성산동 115-2
5430,14353,월드컵아이파크,126.9136642,37.56651634,서울 마포구 성산동 117-1
5431,14354,DMC첨단산업센터,126.8866033,37.58385898,서울 마포구 상암동 1695
5432,14355,DMC첨단산업센터,126.8867138,37.58374196,서울 마포구 상암동 1695
5433,14356,SBS.YTN,126.8943446,37.57962335,서울 마포구 상암동 1695
5434,14357,SBS.YTN,126.8941005,37.57969071,서울 마포구 상암동 1695
5435,14358,공항철도디지털미디어시티역,126.8989066,37.57669754,서울 마포구 상암동 1138
5436,14359,공항철도디지털미디어시티역,126.8982003,37.57704931,서울 마포구 상암동 1251
5437,14360,디지털미디어시티역,126.900583,37.575417,서울 마포구 상암동 1154-4
5438,14361,상암동주민센터앞,126.8938256,37.57852854,서울 마포구 상암동 1708
5439,14362,MBC,126.8909206,37.58185375,서울 마포구 상암동 1695
5440,14363,MBC,126.8909578,37.58173383,서울 마포구 상암동 1695
5441,14490,난지천공원,126.8867916,37.57401562,서울 마포구 상암동 1731
5442,14491,공덕시장,126.9531913,37.54432807,서울 마포구 공덕동 256-7
5443,14492,마포16번종점,126.8988716,37.56087109,서울 마포구 망원동 464-5
5444,14493,서부면허시험장.월드컵파크8단지,126.881932,37.57836618,서울 마포구 상암동 1730
5445,14494,창전중앙하이츠아파트,126.9275474,37.54989576,서울 마포구 창전동 42-6
5446,14495,망원유수지.마포구민체육센터,126.8986146,37.55650465,서울 마포구 망원동 452-3
5447,14496,양화진성지,126.911933,37.5456676,서울 마포구 합정동 185-9
5448,14497,홍대입구역,126.9237373,37.55734243,서울 마포구 동교동 192-44
5449,14498,홍대입구역,126.9236051,37.55760561,서울 마포구 동교동 192-44
5450,14499,아현전철역,126.9560393,37.55702037,서울 마포구 아현동 354-23
5451,14500,샛별문방구.마포전철역,126.9475982,37.53982311,서울 마포구 도화동 293-3
5452,14501,청암대,126.9478121,37.53572057,서울 마포구 도화동 81
5453,14502,한겨레신문사,126.958961,37.54724101,서울 마포구 공덕동 111-361
5454,14503,동원데자뷰아파트,126.8992454,37.56034875,서울 마포구 망원동 465-6
5455,14505,창전삼성아파트109동,126.9302748,37.55029681,서울 마포구 창전동 437
5456,14506,홍대후문,126.9273552,37.55121056,서울 마포구 상수동 72-41
5457,14507,신촌수정탕,126.937575,37.54982103,서울 마포구 신수동 88-137
5458,14508,태양빌딩,126.8993624,37.55607205,서울 마포구 망원동 418-22
5459,14509,난지천공원,126.8862741,37.57419903,서울 마포구 상암동 1731
5460,14510,다운교회,126.9126636,37.54563051,서울 마포구 합정동 197-11
5461,14511,동교로사거리,126.9209175,37.55571085,서울 마포구 동교동 155-6
5462,14512,코오롱아파트106동앞,126.9230364,37.56087609,서울 마포구 연남동 567-43
5463,14513,가든호텔.삼성프라자,126.9493434,37.54081783,서울 마포구 도화동 550
5464,14514,우성아파트3동,126.9475563,37.53617498,서울 마포구 도화동 83
5465,14515,대상아파트,126.8996758,37.55975809,서울 마포구 망원동 439-20
5466,14517,창전삼성아파트107동,126.9310258,37.55071751,서울 마포구 창전동 27-24
5467,14518,서강유치원,126.9279725,37.55192939,서울 마포구 창전동 3-242
5468,14519,삼익아파트입구,126.9356073,37.54995111,서울 마포구 신수동 91-568
5469,14520,용약국,126.9368492,37.55444275,서울 마포구 노고산동 31-213
5470,14521,월드컵파크3단지,126.8884095,37.5727829,서울 마포구 상암동 1731
5471,14522,한이맨션,126.9141613,37.54555455,서울 마포구 합정동 198-48
5472,14524,코오롱아파트104동앞,126.9219101,37.56226001,서울 마포구 연남동 515-26
5473,14525,돼지슈퍼,126.9614903,37.55692599,서울 마포구 아현동 708-4
5474,14527,하나님의교회,126.9600229,37.54632015,서울 마포구 공덕동 111-270
5475,14528,신부파스카아파트,126.9003749,37.55876547,서울 마포구 망원동 431-3
5476,14530,창전삼성아파트104동,126.9315422,37.55112813,서울 마포구 창전동 437
5477,14531,유관순무용원,126.9290655,37.55275825,서울 마포구 창전동 3-181
5478,14532,신수경남아파트,126.9336241,37.55007087,서울 마포구 신수동 462-4
5479,14534,성원아파트,126.9016135,37.55654776,서울 마포구 망원동 489
5480,14536,서일빌딩,126.9159862,37.54546184,서울 마포구 합정동 47-6
5481,14537,청원빌딩,126.9180414,37.55834481,서울 마포구 연남동 571-19
5482,14538,코오롱아파트사거리,126.9213134,37.56299335,서울 마포구 연남동 369-8
5483,14539,신일약국,126.9626027,37.55601313,서울 마포구 아현동 706-4
5484,14540,아현실버복지관,126.960144,37.55766425,서울 마포구 아현동 91-7
5485,14541,S마트,126.9475649,37.53868831,서울 마포구 도화동 204-14
5486,14542,동교초등학교,126.9014569,37.55723333,서울 마포구 망원동 420-6
5487,14544,창전삼성아파트입구,126.9324133,37.55161491,서울 마포구 창전동 440
5488,14545,와우공원입구,126.93,37.553206,서울 마포구 창전동 3-181
5489,14546,마포소방서,126.9328,37.54906903,서울 마포구 신수동 68-12
5490,14547,광흥창역.서강동주민센터,126.9326517,37.54824002,서울 마포구 신수동 357-2
5491,14548,대흥역,126.9411348,37.54816137,서울 마포구 대흥동 273-1
5492,14549,동교초등학교,126.9029458,37.55683004,서울 마포구 망원동 416-49
5493,14550,마포농수산물시장.월드컵경기장,126.8972903,37.56631219,서울 마포구 성산동 665
5494,14551,당인리발전소,126.9179121,37.54535578,서울 마포구 합정동 50-12
5495,14552,경성고교입구,126.9164761,37.56007393,서울 마포구 성산동 231-21
5496,14553,대룡빌딩,126.9222417,37.56371984,서울 마포구 연남동 250-10
5497,14554,열린마트,126.9515976,37.54209428,서울 마포구 도화동 293-4
5498,14555,성원아파트,126.9015923,37.55663384,서울 마포구 망원동 420-7
5499,14556,한강공원입구,126.8992532,37.5561441,서울 마포구 망원동 420-7
5500,14557,금호태영아파트,126.9316982,37.55369612,서울 마포구 창전동 2-111
5501,14558,경의선책거리.산울림소극장,126.9303077,37.55494863,서울 마포구 서교동 349
5502,14559,신수동성당.신수동주민센터,126.9338544,37.54733949,서울 마포구 신수동 91-621
5503,14560,서강수협.신수중학교,126.9324055,37.54539878,서울 마포구 구수동 68-20
5504,14561,용강초등학교,126.9443569,37.54674567,서울 마포구 염리동 154-14
5505,14562,하나은행망원동지점,126.9042734,37.55711039,서울 마포구 망원동 415-26
5506,14563,마포구청.마포구청역,126.9009074,37.56569158,서울 마포구 성산동 373-15
5507,14564,당인리발전소후문,126.921048,37.54515167,서울 마포구 당인동 1-20
5508,14565,마포FM,126.9176773,37.5610344,서울 마포구 성산동 231-20
5509,14566,연남동주민센터,126.9230395,37.56412227,서울 마포구 연남동 239-25
